detector_label,metric,value
H1,Description,Strain data time series from LIGO
H1,DescriptionURL,http://www.gw-openscience.org/
H1,Detector,H1
H1,Duration,32
H1,GPSstart,1126259447
H1,Observatory,H
H1,Type,StrainTimeSeries
H1,UTCstart,2015-09-14T09:50:30
H1,sample_count,131072
H1,sample_rate_hz,4096.0
H1,dt_s,0.000244140625
L1,Description,Strain data time series from LIGO
L1,DescriptionURL,http://www.gw-openscience.org/
L1,Detector,L1
L1,Duration,32
L1,GPSstart,1126259447
L1,Observatory,L
L1,Type,StrainTimeSeries
L1,UTCstart,2015-09-14T09:50:30
L1,sample_count,131072
L1,sample_rate_hz,4096.0
L1,dt_s,0.000244140625
